,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
406,-0.98306996,-0.3558211,-0.5812828,-0.8401636
407,-0.981383,-0.3576282,-0.59115136,-0.84700066
408,-0.97942716,-0.34070557,-0.5783151,-0.84267896
409,-0.9762724,-0.3613404,-0.5755947,-0.8585508
410,-0.9756495,-0.32639956,-0.5936334,-0.8454676
411,-0.98159564,-0.35785303,-0.5922804,-0.8443117
412,-0.9871853,-0.34335673,-0.57760614,-0.83798295
413,-0.9845434,-0.36853194,-0.59007996,-0.8561486
414,-0.9656663,-0.3528522,-0.57353663,-0.8448251
415,-0.9712185,-0.35090062,-0.5895562,-0.8377918
416,-0.9709824,-0.33937922,-0.58198756,-0.83204746
417,-0.9860874,-0.354431,-0.5790529,-0.8396539
418,-0.97597027,-0.36295706,-0.5963543,-0.85190403
419,-0.9835129,-0.35404077,-0.589573,-0.8273436
420,-0.9662442,-0.3648418,-0.5740588,-0.8430665
421,-0.97238547,-0.3528849,-0.57738566,-0.8489934
422,-0.9560722,-0.33918032,-0.58373207,-0.84627634
423,-0.9746996,-0.34051996,-0.56954557,-0.8380633
424,-0.97779596,-0.3434626,-0.56925595,-0.8373082
425,-0.9919381,-0.33549398,-0.5777952,-0.84045905
426,-0.9769573,-0.35336152,-0.5821362,-0.83811784
427,-0.9789708,-0.34294444,-0.5781159,-0.85224473
428,-0.9578711,-0.370611,-0.58031803,-0.84125215
429,-0.9642413,-0.34175426,-0.6056629,-0.8459709
430,-0.98802024,-0.34253967,-0.5875555,-0.86601317
431,-0.9913058,-0.34461433,-0.57387483,-0.8359795
432,-0.9842232,-0.33094403,-0.5838529,-0.8396733
433,-0.96499884,-0.33435372,-0.5992434,-0.8639389
434,-0.9789936,-0.3292651,-0.57182103,-0.8453304
435,-0.9835131,-0.33965483,-0.6007856,-0.8483026
436,-0.9501078,-0.34029076,-0.5891845,-0.8321711
437,-0.9587974,-0.3610333,-0.58831626,-0.8309242
438,-0.97530746,-0.36669663,-0.5846053,-0.8443095
439,-0.9698295,-0.32547867,-0.588091,-0.8495033
440,-0.9984156,-0.34299606,-0.58020043,-0.8592088
441,-0.96812344,-0.33622602,-0.5838673,-0.8259362
442,-0.97633725,-0.36698487,-0.59213173,-0.8542765
443,-0.96228504,-0.3611577,-0.58499765,-0.83861005
444,-0.98232657,-0.3514719,-0.60051465,-0.8223203
445,-0.97199684,-0.35704345,-0.58251655,-0.83674234
446,-0.9775983,-0.3534291,-0.5857845,-0.86181104
447,-0.9704679,-0.34432918,-0.5677378,-0.82291424
448,-0.96267635,-0.3364992,-0.58641523,-0.8465427
449,-0.9680609,-0.3471138,-0.57585174,-0.8561602
450,-0.9678815,-0.35221413,-0.5805164,-0.8573041
451,-0.9741887,-0.33496004,-0.5874032,-0.8453351
452,-0.97716856,-0.34636474,-0.5828515,-0.8401426
453,-0.97620076,-0.34605706,-0.5842409,-0.83476365
454,-1.0017724,-0.34285378,-0.58307487,-0.8449092
455,-0.9456973,-0.34257156,-0.59016633,-0.8561091
456,-0.9823069,-0.343973,-0.59170616,-0.8529852
457,-0.9931245,-0.36325732,-0.58962965,-0.83804077
458,-0.9685192,-0.32571098,-0.56617,-0.84841126
459,-0.9768631,-0.36202702,-0.57639104,-0.84909433
460,-0.97824883,-0.32705688,-0.582476,-0.8336091
461,-0.9766919,-0.33852437,-0.59030896,-0.8224268
462,-0.99112284,-0.33642176,-0.58974385,-0.84932053
